	subject	object	score	overlap	local_mi	subject_annotated	object_annotated
83	TWDIS_09536	TWMET_00145	1	387	387	diabetes mellitus	prednisone
84	TWDIS_09536	TWMET_00148	1	384	384	diabetes mellitus	thyroxine
85	TWDIS_09536	TWMET_01201	2	185	370	diabetes mellitus	thiamine
86	TWDIS_09536	TWMET_00185	1	369	369	diabetes mellitus	prednisolone
87	TWDIS_09536	TWMET_00504	2	178	356	diabetes mellitus	phosphoenolpyruvate
88	TWDIS_09536	TWMET_00049	1	354	354	diabetes mellitus	leucine
89	TWDIS_09536	TWMET_00066	1	335	335	diabetes mellitus	glycerol
90	TWDIS_09536	TWMET_00217	1	320	320	diabetes mellitus	quercetin
91	TWDIS_09536	TWMET_00344	2	157	314	diabetes mellitus	adenylylsulfate
92	TWDIS_09536	TWMET_00115	1	309	309	diabetes mellitus	methicillin
93	TWDIS_09536	TWMET_00485	2	146	292	diabetes mellitus	myo-inositol
94	TWDIS_09536	TWMET_00098	1	282	282	diabetes mellitus	starch
95	TWDIS_09536	TWMET_00264	2	139	278	diabetes mellitus	short-chain-fatty-acid
96	TWDIS_09536	TWMET_00173	1	273	273	diabetes mellitus	melatonin
97	TWDIS_09536	TWMET_00478	2	133	266	diabetes mellitus	methylenetetrahydrofolate
98	TWDIS_09536	TWMET_00079	1	261	261	diabetes mellitus	adenine
99	TWDIS_09536	TWMET_00140	1	261	261	diabetes mellitus	erythropoietin
100	TWDIS_09536	TWMET_00064	1	257	257	diabetes mellitus	vasopressin
101	TWDIS_09536	TWMET_00872	1	250	250	diabetes mellitus	curcumin
102	TWDIS_09536	TWMET_00124	1	245	245	diabetes mellitus	neuropeptide
103	TWDIS_09536	TWMET_00195	1	240	240	diabetes mellitus	tocopherol
104	TWDIS_09536	TWMET_00149	1	235	235	diabetes mellitus	vancomycin
105	TWDIS_09536	TWMET_01175	2	116	232	diabetes mellitus	spironolactone
106	TWDIS_09536	TWMET_00105	1	218	218	diabetes mellitus	glutamine
107	TWDIS_09536	TWMET_00087	1	209	209	diabetes mellitus	linoleic acid
108	TWDIS_09536	TWMET_01025	2	104	208	diabetes mellitus	levothyroxine
109	TWDIS_09536	TWMET_00100	1	205	205	diabetes mellitus	phenylalanine
110	TWDIS_09536	TWMET_00183	1	202	202	diabetes mellitus	phosphoinositide
111	TWDIS_09536	TWMET_00093	1	201	201	diabetes mellitus	choline
112	TWDIS_09536	TWMET_00131	1	199	199	diabetes mellitus	glycoside
113	TWDIS_09536	TWMET_00221	1	197	197	diabetes mellitus	vitamin K
114	TWDIS_09536	TWMET_00386	1	189	189	diabetes mellitus	DHA
115	TWDIS_09536	TWMET_00182	1	186	186	diabetes mellitus	phenylephrine
116	TWDIS_09536	TWMET_00564	1	177	177	diabetes mellitus	valine
117	TWDIS_09536	TWMET_00201	1	177	177	diabetes mellitus	butyrate
118	TWDIS_09536	TWMET_00181	1	176	176	diabetes mellitus	oleate
119	TWDIS_09536	TWMET_00157	1	168	168	diabetes mellitus	ciprofloxacin
120	TWDIS_09536	TWMET_00230	1	168	168	diabetes mellitus	ceramide
121	TWDIS_09536	TWMET_00192	1	166	166	diabetes mellitus	rifampicin
122	TWDIS_09536	TWMET_00176	1	162	162	diabetes mellitus	n-acetylcysteine
123	TWDIS_09536	TWMET_00134	1	158	158	diabetes mellitus	caffeine
124	TWDIS_09536	TWMET_00147	1	156	156	diabetes mellitus	ribose
125	TWDIS_09536	TWMET_00275	1	154	154	diabetes mellitus	xanthine
126	TWDIS_09536	TWMET_00179	1	154	154	diabetes mellitus	nifedipine
127	TWDIS_09536	TWMET_00171	1	152	152	diabetes mellitus	mannitol
128	TWDIS_09536	TWMET_00194	1	149	149	diabetes mellitus	succinate
129	TWDIS_09536	TWMET_00206	1	148	148	diabetes mellitus	ethyl acetate
130	TWDIS_09536	TWMET_00544	1	148	148	diabetes mellitus	taurine
131	TWDIS_09536	TWMET_00151	1	146	146	diabetes mellitus	acetone
132	TWDIS_09536	TWMET_00165	1	145	145	diabetes mellitus	guanosine
133	TWDIS_09536	TWMET_00844	1	143	143	diabetes mellitus	carotene
134	TWDIS_09536	TWMET_01030	1	139	139	diabetes mellitus	linolenic acid
135	TWDIS_09536	TWMET_00233	1	139	139	diabetes mellitus	diacylglycerol
136	TWDIS_09536	TWMET_00447	1	137	137	diabetes mellitus	hydroperoxide
137	TWDIS_09536	TWMET_00163	1	136	136	diabetes mellitus	gentamicin
138	TWDIS_09536	TWMET_00164	1	134	134	diabetes mellitus	glycosaminoglycan
139	TWDIS_09536	TWMET_00893	1	133	133	diabetes mellitus	digoxin
140	TWDIS_09536	TWMET_00533	1	129	129	diabetes mellitus	sphingolipid
141	TWDIS_09536	TWMET_00243	1	127	127	diabetes mellitus	inulin
142	TWDIS_09536	TWMET_00451	1	127	127	diabetes mellitus	inulin
143	TWDIS_09536	TWMET_00193	1	126	126	diabetes mellitus	sialic acid
144	TWDIS_09536	TWMET_00265	1	123	123	diabetes mellitus	stearic acid
145	TWDIS_09536	TWMET_00254	1	123	123	diabetes mellitus	NADP
146	TWDIS_09536	TWMET_00153	1	122	122	diabetes mellitus	amoxicillin
147	TWDIS_09536	TWMET_00269	1	121	121	diabetes mellitus	trimethoprim
148	TWDIS_09536	TWMET_01235	1	120	120	diabetes mellitus	isoleucine
149	TWDIS_09536	TWMET_00152	1	119	119	diabetes mellitus	aminoglycoside
150	TWDIS_09536	TWMET_00905	1	117	117	diabetes mellitus	doxycycline
151	TWDIS_09536	TWMET_00847	1	113	113	diabetes mellitus	catechin
152	TWDIS_09536	TWMET_00245	1	113	113	diabetes mellitus	isoniazid
153	TWDIS_09536	TWMET_00940	1	112	112	diabetes mellitus	gallic acid
154	TWDIS_09536	TWMET_00868	1	111	111	diabetes mellitus	cortisone
155	TWDIS_09536	TWMET_00534	1	104	104	diabetes mellitus	sphingomyelin
156	TWDIS_09536	TWMET_00536	1	102	102	diabetes mellitus	sphingosine
157	TWDIS_09536	TWMET_00253	1	101	101	diabetes mellitus	metronidazole
