	subject	object	score	overlap	local_mi	subject_annotated	object_annotated
64	TWDIS_06685	TWMET_00084	1	242	242	parkinson's disease	creatine
65	TWDIS_06685	TWMET_00079	1	220	220	parkinson's disease	adenine
66	TWDIS_06685	TWMET_00068	1	216	216	parkinson's disease	methionine
67	TWDIS_06685	TWMET_00073	1	215	215	parkinson's disease	glycogen
68	TWDIS_06685	TWMET_00043	1	205	205	parkinson's disease	lysine
69	TWDIS_06685	TWMET_00099	1	201	201	parkinson's disease	cocaine
70	TWDIS_06685	TWMET_00077	1	195	195	parkinson's disease	folate
71	TWDIS_06685	TWMET_00112	1	192	192	parkinson's disease	pyridine
72	TWDIS_06685	TWMET_00045	1	185	185	parkinson's disease	glycine
73	TWDIS_06685	TWMET_00080	1	184	184	parkinson's disease	nitrite
74	TWDIS_06685	TWMET_00144	1	181	181	parkinson's disease	polyunsaturated-fatty-acid
75	TWDIS_06685	TWMET_00114	1	179	179	parkinson's disease	benzodiazepine
76	TWDIS_06685	TWMET_00411	1	177	177	parkinson's disease	glucagon
77	TWDIS_06685	TWMET_00059	1	176	176	parkinson's disease	histamine
78	TWDIS_06685	TWMET_00147	1	173	173	parkinson's disease	ribose
79	TWDIS_06685	TWMET_00105	1	171	171	parkinson's disease	glutamine
80	TWDIS_06685	TWMET_00081	1	157	157	parkinson's disease	inositol
81	TWDIS_06685	TWMET_00195	1	155	155	parkinson's disease	tocopherol
82	TWDIS_06685	TWMET_00100	1	149	149	parkinson's disease	phenylalanine
83	TWDIS_06685	TWMET_00085	1	147	147	parkinson's disease	proline
84	TWDIS_06685	TWMET_00217	1	139	139	parkinson's disease	quercetin
85	TWDIS_06685	TWMET_01152	1	137	137	parkinson's disease	retinoic acid
86	TWDIS_06685	TWMET_00188	1	124	124	parkinson's disease	purine
87	TWDIS_06685	TWMET_00165	1	124	124	parkinson's disease	guanosine
88	TWDIS_06685	TWMET_00021	1	123	123	parkinson's disease	arachidonic acid
89	TWDIS_06685	TWMET_00272	1	118	118	parkinson's disease	vitamin B12
90	TWDIS_06685	TWMET_00183	1	111	111	parkinson's disease	phosphoinositide
91	TWDIS_06685	TWMET_00048	1	110	110	parkinson's disease	propionate
92	TWDIS_06685	TWMET_00141	1	110	110	parkinson's disease	indole
93	TWDIS_06685	TWMET_00201	1	110	110	parkinson's disease	butyrate
94	TWDIS_06685	TWMET_00194	1	108	108	parkinson's disease	succinate
95	TWDIS_06685	TWMET_00189	1	105	105	parkinson's disease	pyrimidine
